"Показател","Мерна единица","Дата","Дружба","Павлово","Младост","Надежда","Орлов мост","Хиподрума","Копитото"
"NO2","ug/m3","01.01.2011","68.03982543945312","121.9950561523438","","112.2090606689453","98.97983551025391","141.8316650390625","1.304007530212402"
"NO2","ug/m3","02.01.2011","72.65410614013672","117.3751983642578","","104.5586776733398","101.8799819946289","133.0641021728516","2.320059299468994"
"NO2","ug/m3","03.01.2011","39.21063995361328","26.02644729614258","","23.1572208404541","26.09612846374512","30.89242553710938","4.08917760848999"
"NO2","ug/m3","04.01.2011","36.79106903076172","36.59899139404297","","32.20425796508789","41.83010864257812","48.99705505371094","11.66788101196289"
"NO2","ug/m3","05.01.2011","36.48061752319336","40.34255981445312","","43.1249885559082","55.00699615478516","38.52416610717773","5.839987277984619"
"NO2","ug/m3","06.01.2011","51.25759506225586","74.96253967285156","","62.53176879882812","80.02017974853516","83.75552368164062","8.160284996032715"
"NO2","ug/m3","07.01.2011","58.26255416870117","124.3557052612305","","91.84380340576172","95.56987762451172","134.0786743164062","1.691136240959167"
"NO2","ug/m3","08.01.2011","74.42134857177734","139.1026153564453","","119.8331604003906","111.7091064453125","164.5964660644531","2.048002243041992"
"NO2","ug/m3","09.01.2011","85.35118865966797","137.6673278808594","","129.4917602539062","128.5608215332031","178.4505157470703","2.437739849090576"
"NO2","ug/m3","10.01.2011","74.92737579345703","145.6974182128906","","119.7810668945312","114.4970779418945","170.4653930664062","1.850866675376892"
"NO2","ug/m3","11.01.2011","83.04600524902344","97.91199493408203","","86.32058715820312","98.21623229980469","109.9801025390625","5.067326068878174"
"NO2","ug/m3","12.01.2011","36.44420623779297","66.77122497558594","","47.71672058105469","58.24259948730469","66.06946563720703","7.973258972167969"
"NO2","ug/m3","13.01.2011","37.15677261352539","53.47548675537109","","51.34140396118164","54.43750762939453","62.8641357421875","2.413918495178223"
"NO2","ug/m3","14.01.2011","36.05116271972656","29.67989349365234","","27.12015914916992","34.7832145690918","41.95724487304688","2.623271942138672"
"NO2","ug/m3","15.01.2011","34.72467041015625","42.77751159667969","","44.38233947753906","50.38486099243164","","3.4521644115448"
"NO2","ug/m3","16.01.2011","22.65691375732422","18.86139106750488","","15.46261978149414","18.11396789550781","","2.856924057006836"
"NO2","ug/m3","17.01.2011","37.95969772338867","71.59455871582031","","53.37141418457031","69.54669189453125","","3.850095510482788"
"NO2","ug/m3","18.01.2011","47.0787353515625","109.2459869384766","","82.76998138427734","86.17442321777344","121.8588943481445","1.678640127182007"
"NO2","ug/m3","19.01.2011","48.76671600341797","107.0273208618164","","90.28104400634766","99.14904022216797","129.2648162841797","5.779861450195312"
"NO2","ug/m3","20.01.2011","52.46627807617188","80.5501708984375","","60.47529602050781","75.86244964599609","83.08509826660156","5.668217658996582"
"NO2","ug/m3","21.01.2011","28.05594444274902","50.06212615966797","","34.72520446777344","42.56258010864258","40.78547286987305","5.898839473724365"
"NO2","ug/m3","22.01.2011","28.22803688049316","20.93736457824707","","20.79626274108887","24.9593391418457","21.60304832458496","9.445527076721191"
"NO2","ug/m3","23.01.2011","22.94196319580078","19.0888786315918","","18.54074668884277","18.64801979064941","17.20134162902832","9.050427436828613"
"NO2","ug/m3","24.01.2011","22.46964454650879","17.39743041992188","","18.25311660766602","17.79083442687988","19.50280952453613","4.397565364837646"
"NO2","ug/m3","25.01.2011","31.15907859802246","21.78164672851562","","23.57833480834961","28.21884346008301","25.82641220092773","4.565699100494385"
"NO2","ug/m3","26.01.2011","51.47969055175781","82.78411102294922","","71.40746307373047","77.37644958496094","86.61333465576172","3.758679866790771"
"NO2","ug/m3","27.01.2011","67.20130157470703","125.1301956176758","","101.1437911987305","102.1755599975586","124.499267578125","4.262298583984375"
"NO2","ug/m3","28.01.2011","46.02556610107422","75.04824066162109","","65.41571807861328","74.55844879150391","74.83791351318359","7.121362686157227"
"NO2","ug/m3","29.01.2011","29.0299015045166","38.61305999755859","","23.94827079772949","42.52738189697266","36.19952392578125","12.88340282440186"
"NO2","ug/m3","30.01.2011","50.12373352050781","94.79709625244141","","72.24395751953125","82.47817230224609","96.61222076416016","5.681718826293945"
"NO2","ug/m3","31.01.2011","57.3632698059082","56.83697128295898","","65.44072723388672","70.18299102783203","55.12133026123047","3.65086555480957"
"NO2","ug/m3","01.02.2011","58.39076995849609","76.10968017578125","","68.55288696289062","71.95152282714844","76.01327514648438","2.751909017562866"
"NO2","ug/m3","02.02.2011","68.66300201416016","102.101203918457","","87.49888610839844","81.95465087890625","92.80103302001953","6.441188812255859"
"NO2","ug/m3","03.02.2011","33.33354949951172","32.67387771606445","","27.50698280334473","28.8499698638916","25.15985488891602","4.236063480377197"
"NO2","ug/m3","04.02.2011","38.46713256835938","24.51801109313965","","44.65975952148438","37.39573287963867","26.21166038513184","3.562312364578247"
"NO2","ug/m3","05.02.2011","54.06352233886719","64.38580322265625","","68.85244750976562","86.94628143310547","74.95481109619141","2.074513912200928"
"NO2","ug/m3","06.02.2011","40.52328109741211","51.56690216064453","","51.17663192749023","","56.54722595214844","2.148372173309326"
"NO2","ug/m3","07.02.2011","40.46306991577148","44.48944473266602","","48.95624923706055","51.65772247314453","58.45367431640625","3.613293409347534"
"NO2","ug/m3","08.02.2011","49.0304069519043","92.15072631835938","","100.5009002685547","104.2195663452148","94.98251342773438","2.85442042350769"
"NO2","ug/m3","09.02.2011","30.0285472869873","36.78894424438477","","21.48636817932129","27.57967758178711","33.15689468383789","3.904441118240356"
