"Показател","Мерна единица","Дата","средноденонощна норма","Дружба","Павлово","Надежда","Орлов мост","Младост","Хиподрума","Копитото"
"PM10","ug/m3","06.10.2013","50","42.22513580322266","45.89216613769531","42.51842880249023","46.12241744995117","","41.23267364501953","19.3069019317627"
"PM10","ug/m3","07.10.2013","50","50.7073860168457","62.34256362915039","53.34368133544922","53.05080795288086","","44.35280227661133","24.88944625854492"
"PM10","ug/m3","08.10.2013","50","53.05352401733398","43.12990570068359","47.13214111328125","49.37979125976562","","42.73985290527344","25.54109001159668"
"PM10","ug/m3","09.10.2013","50","48.95747375488281","68.97328186035156","41.15130996704102","49.31855392456055","","48.64906311035156","22.62038803100586"
"PM10","ug/m3","10.10.2013","50","53.6862907409668","48.5592155456543","40.79689788818359","48.7724723815918","","47.20981216430664","16.75991249084473"
"PM10","ug/m3","11.10.2013","50","62.37151336669922","56.36603927612305","59.80277633666992","71.42787170410156","","55.6992073059082","12.95284271240234"
"PM10","ug/m3","12.10.2013","50","53.83258819580078","47.23485946655273","44.6550178527832","58.27254104614258","","48.8665771484375","25.86913681030273"
"PM10","ug/m3","13.10.2013","50","61.03885650634766","64.51160430908203","45.2939567565918","68.34385681152344","","57.43001937866211","36.88932800292969"
"PM10","ug/m3","14.10.2013","50","65.59986877441406","67.72711944580078","51.96149063110352","72.69203186035156","","62.73285293579102","39.11116409301758"
"PM10","ug/m3","15.10.2013","50","69.51659393310547","59.56525421142578","57.28704452514648","103.4200897216797","","59.40704727172852","37.51650238037109"
"PM10","ug/m3","16.10.2013","50","44.18830490112305","37.6109619140625","36.891845703125","51.22016143798828","","37.00582504272461","17.92926979064941"
"PM10","ug/m3","17.10.2013","50","12.74462985992432","8.989725112915039","11.37289714813232","11.69231796264648","","9.828560829162598","4.89297342300415"
"PM10","ug/m3","18.10.2013","50","16.40762901306152","10.28277587890625","34.05556106567383","12.8997688293457","","9.887968063354492","2.489527463912964"
"PM10","ug/m3","19.10.2013","50","23.60147666931152","16.47317314147949","30.4500846862793","22.78872680664062","","24.39418601989746","5.321811199188232"
"PM10","ug/m3","20.10.2013","50","35.89998626708984","42.93914031982422","49.1508674621582","44.85841751098633","","43.38703918457031","0"
"PM10","ug/m3","21.10.2013","50","76.64019012451172","62.89024353027344","77.31611633300781","78.67258453369141","","55.88640594482422","13.3150749206543"
"PM10","ug/m3","22.10.2013","50","59.85327529907227","53.45447540283203","60.6389045715332","72.35452270507812","","56.05021286010742","17.17781066894531"
"PM10","ug/m3","23.10.2013","50","65.25809478759766","54.9648551940918","55.86714172363281","59.29979705810547","","50.16294860839844","22.39251899719238"
"PM10","ug/m3","24.10.2013","50","61.75917053222656","68.10458374023438","60.58924102783203","49.93128967285156","","63.87678527832031","31.46144866943359"
"PM10","ug/m3","25.10.2013","50","72.93289947509766","64.31980133056641","82.13674163818359","73.00798034667969","","70.65792846679688","19.37746047973633"
"PM10","ug/m3","26.10.2013","50","54.75627517700195","53.32861328125","68.15185546875","75.92208099365234","","66.20648956298828","19.66230010986328"
"PM10","ug/m3","27.10.2013","50","58.42703628540039","58.61263275146484","75.35404968261719","76.42478179931641","","70.97872161865234","0"
"PM10","ug/m3","28.10.2013","50","58.04500198364258","53.13438034057617","72.24355316162109","82.95909881591797","","62.27020645141602","0"
"PM10","ug/m3","29.10.2013","50","84.63488006591797","56.11508941650391","0","85.99234008789062","","64.30197143554688","19.35007286071777"
"PM10","ug/m3","30.10.2013","50","102.7345428466797","69.18828582763672","0","104.1907119750977","","77.58400726318359","21.03691291809082"
"PM10","ug/m3","31.10.2013","50","87.91472625732422","79.43760681152344","70.48204803466797","95.43669891357422","","77.97361755371094","45.37276458740234"
"PM10","ug/m3","01.11.2013","50","64.31655120849609","69.37722015380859","46.77046585083008","66.08960723876953","","57.41280746459961","29.83737373352051"
"PM10","ug/m3","02.11.2013","50","101.032585144043","94.06866455078125","83.47626495361328","104.864616394043","","97.09443664550781","32.04513549804688"
"PM10","ug/m3","03.11.2013","50","117.8392333984375","71.26006317138672","86.83866882324219","108.3224029541016","","85.72510528564453","16.27463722229004"
"PM10","ug/m3","04.11.2013","50","87.55120849609375","58.13692474365234","54.34292221069336","62.20171737670898","","52.59626007080078","13.92783832550049"
"PM10","ug/m3","05.11.2013","50","73.18730926513672","52.88386917114258","48.64572906494141","55.52205657958984","","48.01688766479492","11.87964153289795"
"PM10","ug/m3","06.11.2013","50","88.99312591552734","24.6684398651123","27.25516128540039","26.35198783874512","","22.25656700134277","12.47035121917725"
"PM10","ug/m3","07.11.2013","50","39.82542037963867","30.5992546081543","27.87514877319336","32.77339172363281","","25.32413864135742","-2.29141640663147"
"PM10","ug/m3","08.11.2013","50","71.96103668212891","55.51285934448242","59.56340789794922","64.74984741210938","","62.83352661132812","0.6451537609100342"
"PM10","ug/m3","09.11.2013","50","68.52978515625","57.75050735473633","56.28739166259766","69.39509582519531","","62.84063339233398","9.405312538146973"
"PM10","ug/m3","10.11.2013","50","85.21949768066406","88.29498291015625","71.35731506347656","91.39033508300781","","81.51457214355469","11.33688640594482"
"PM10","ug/m3","11.11.2013","50","76.10556793212891","88.80663299560547","57.45631790161133","85.22323608398438","","78.34907531738281","29.9069938659668"
"PM10","ug/m3","12.11.2013","50","43.15487289428711","43.27313995361328","30.45063972473145","45.14715194702148","","47.65171051025391","24.30717849731445"
"PM10","ug/m3","13.11.2013","50","45.84656143188477","30.58672142028809","29.96103668212891","36.83290100097656","","30.12969207763672","6.026546955108643"
"PM10","ug/m3","14.11.2013","50","27.49894332885742","22.18240737915039","23.78351974487305","27.95588874816895","","21.39598655700684","9.090250968933105"
"PM10","ug/m3","15.11.2013","50","19.48439788818359","11.47042465209961","18.34495735168457","19.14750671386719","","12.49953746795654","4.497711181640625"
"PM10","ug/m3","16.11.2013","50","24.91849517822266","35.36577606201172","25.73892784118652","36.71068572998047","","27.73298263549805","3.467147588729858"
"PM10","ug/m3","17.11.2013","50","55.35943222045898","101.0062103271484","65.05268096923828","77.82473754882812","","82.55649566650391","2.56583833694458"
"PM10","ug/m3","18.11.2013","50","71.16710662841797","96.49008941650391","86.00422668457031","96.1214599609375","","80.12361145019531","9.395465850830078"
"PM10","ug/m3","19.11.2013","50","42.62573623657227","44.94323348999023","38.09710311889648","41.94712448120117","","35.64542007446289","17.51053619384766"
"PM10","ug/m3","20.11.2013","50","50.87161636352539","74.21489715576172","40.94532012939453","52.41411209106445","","47.10859298706055","16.9617748260498"
"PM10","ug/m3","21.11.2013","50","44.60263061523438","57.09719467163086","37.88107299804688","52.73252868652344","","49.62704467773438","0"
"PM10","ug/m3","22.11.2013","50","63.01651382446289","63.82228469848633","58.63054275512695","60.93629837036133","","56.44772720336914","9.824934959411621"
"PM10","ug/m3","23.11.2013","50","40.33163833618164","42.05915451049805","48.19252777099609","52.15402984619141","","45.72198104858398","15.47011852264404"
"PM10","ug/m3","24.11.2013","50","29.8958683013916","31.83012580871582","23.93622970581055","35.18220138549805","","28.09873580932617","4.490495204925537"
"PM10","ug/m3","25.11.2013","50","13.52121543884277","9.046479225158691","11.48898506164551","6.117506504058838","","10.13464546203613","0"
"PM10","ug/m3","26.11.2013","50","27.20307922363281","23.25798225402832","25.26859664916992","37.32483673095703","","22.30463027954102","-1.099238634109497"
"PM10","ug/m3","27.11.2013","50","26.322998046875","29.00566291809082","14.4162073135376","17.4731388092041","","17.26056289672852","-2.511026859283447"
"PM10","ug/m3","28.11.2013","50","26.10759925842285","30.70397758483887","16.39815521240234","19.75013542175293","","21.01130485534668","0"
"PM10","ug/m3","29.11.2013","50","37.76374435424805","26.48723411560059","26.06007766723633","31.3901538848877","","32.10196685791016","2.429799795150757"
"PM10","ug/m3","30.11.2013","50","79.23097991943359","96.65528869628906","80.41431427001953","87.61333465576172","","84.77425384521484","0"
"PM10","ug/m3","01.12.2013","50","99.95663452148438","137.6379547119141","69.05588531494141","104.8284225463867","","101.6025466918945","4.326594829559326"
"PM10","ug/m3","02.12.2013","50","46.95960235595703","57.011962890625","44.5576286315918","47.04403305053711","","53.65932846069336","15.48731708526611"
"PM10","ug/m3","03.12.2013","50","51.46194076538086","39.25200653076172","43.98580169677734","54.03673934936523","","35.09576416015625","5.493884563446045"
"PM10","ug/m3","04.12.2013","50","118.5344772338867","92.40216064453125","87.65908050537109","117.4352111816406","","108.243293762207","0"
"PM10","ug/m3","05.12.2013","50","0","69.61965942382812","73.87477111816406","118.7382888793945","","94.62245178222656","0"
"PM10","ug/m3","06.12.2013","50","63.46214294433594","70.3623046875","55.84784317016602","64.10172271728516","","49.84816741943359","0"
"PM10","ug/m3","07.12.2013","50","17.22437286376953","9.781156539916992","15.43081665039062","6.841707706451416","","10.82580184936523","0"
"PM10","ug/m3","08.12.2013","50","18.98239517211914","12.21637916564941","20.7373046875","19.35128211975098","","14.2738151550293","0"
"PM10","ug/m3","09.12.2013","50","45.51640701293945","25.70841407775879","42.6607780456543","33.94394302368164","","25.3169994354248","0"
"PM10","ug/m3","10.12.2013","50","24.24260711669922","19.60285568237305","23.04347991943359","27.91810417175293","","17.84135055541992","0"
"PM10","ug/m3","11.12.2013","50","57.57477188110352","37.38727188110352","38.91842269897461","39.80653381347656","","36.80625534057617","0"
"PM10","ug/m3","12.12.2013","50","40.01642608642578","23.45565605163574","24.17619514465332","26.20189666748047","","23.92768478393555","0"
"PM10","ug/m3","13.12.2013","50","41.12499618530273","35.21887969970703","31.96459579467773","33.13824844360352","","33.70322418212891","0"
"PM10","ug/m3","14.12.2013","50","98.62808990478516","87.92182159423828","85.04369354248047","118.1991424560547","","98.18548583984375","0"
"PM10","ug/m3","15.12.2013","50","134.218994140625","68.46407318115234","98.68491363525391","112.4132308959961","","86.14984130859375","0"
"PM10","ug/m3","16.12.2013","50","33.41450500488281","28.21559715270996","28.19367218017578","26.26243591308594","","29.15492820739746","0"
"PM10","ug/m3","17.12.2013","50","104.2424621582031","92.54660034179688","67.45808410644531","98.01438903808594","","89.57027435302734","0"
"PM10","ug/m3","18.12.2013","50","188.8171997070312","147.8887786865234","109.0332641601562","162.5648651123047","","142.4900970458984","0"
"PM10","ug/m3","19.12.2013","50","222.5901336669922","179.6903686523438","188.94677734375","259.0068359375","","209.7655029296875","0"
"PM10","ug/m3","20.12.2013","50","247.5818023681641","214.110107421875","285.3578796386719","278.514404296875","","271.3883056640625","0"
"PM10","ug/m3","21.12.2013","50","180.8927459716797","186.2677307128906","194.7293701171875","234.3423156738281","","252.2033996582031","0"
"PM10","ug/m3","22.12.2013","50","166.7844085693359","153.8607940673828","133.7709808349609","236.7287139892578","","203.9007110595703","0"
"PM10","ug/m3","23.12.2013","50","247.4550323486328","228.7887725830078","230.2596130371094","304.9140930175781","","289.6965942382812","0"
"PM10","ug/m3","24.12.2013","50","376.8594360351562","361.6903381347656","269.7578125","396.208251953125","","374.9794616699219","0"
"PM10","ug/m3","25.12.2013","50","366.5965881347656","317.3369140625","235.1297454833984","413.2354125976562","","350.5998229980469","0"
"PM10","ug/m3","26.12.2013","50","110.7116851806641","121.5067596435547","99.36921691894531","127.1803131103516","","104.489501953125","0"
